[26-Jun-2025 04:02:52 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:02:52 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:02:54 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:02:54 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:02:54 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:03:00 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:03:00 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:24:23 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:24:28 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:24:28 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:24:48 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:24:48 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:25:23 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:40:42 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:43:59 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:49:17 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:49:53 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:59:55 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:06:48 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:08:46 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:09:23 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
